Epoch: [0][262/263]	Loss 0.0912 (0.7467)	Prec@1 100.000 (84.571)	Prec@5 100.000 (92.190)
Epoch: [1][262/263]	Loss 2.2676 (0.0992)	Prec@1 50.000 (98.286)	Prec@5 100.000 (99.905)
Epoch: [2][262/263]	Loss 0.0145 (0.0825)	Prec@1 100.000 (97.619)	Prec@5 100.000 (99.810)
Epoch: [3][262/263]	Loss 0.0084 (0.0619)	Prec@1 100.000 (98.476)	Prec@5 100.000 (100.000)
Epoch: [4][262/263]	Loss 0.0014 (0.0587)	Prec@1 100.000 (98.095)	Prec@5 100.000 (99.905)
Epoch: [5][262/263]	Loss 0.0051 (0.0511)	Prec@1 100.000 (98.571)	Prec@5 100.000 (100.000)
Epoch: [6][262/263]	Loss 0.0386 (0.0517)	Prec@1 100.000 (98.476)	Prec@5 100.000 (99.810)
Epoch: [7][262/263]	Loss 0.0017 (0.0310)	Prec@1 100.000 (99.238)	Prec@5 100.000 (100.000)
Epoch: [8][262/263]	Loss 0.0049 (0.0371)	Prec@1 100.000 (98.952)	Prec@5 100.000 (99.905)
Epoch: [9][262/263]	Loss 1.3406 (0.0347)	Prec@1 50.000 (98.857)	Prec@5 100.000 (100.000)
Epoch: [10][262/263]	Loss 0.0157 (0.0338)	Prec@1 100.000 (99.143)	Prec@5 100.000 (99.905)
Epoch: [11][262/263]	Loss 0.0008 (0.0256)	Prec@1 100.000 (99.333)	Prec@5 100.000 (99.905)
Epoch: [12][262/263]	Loss 0.0145 (0.0198)	Prec@1 100.000 (99.429)	Prec@5 100.000 (100.000)
Epoch: [13][262/263]	Loss 0.0027 (0.0484)	Prec@1 100.000 (98.667)	Prec@5 100.000 (99.905)
Epoch: [14][262/263]	Loss 0.0106 (0.0261)	Prec@1 100.000 (99.238)	Prec@5 100.000 (100.000)
Epoch: [15][262/263]	Loss 0.6105 (0.0184)	Prec@1 100.000 (99.619)	Prec@5 100.000 (100.000)
Epoch: [16][262/263]	Loss 0.0007 (0.0164)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [17][262/263]	Loss 0.0019 (0.0185)	Prec@1 100.000 (99.333)	Prec@5 100.000 (100.000)
Epoch: [18][262/263]	Loss 0.0612 (0.0189)	Prec@1 100.000 (99.333)	Prec@5 100.000 (100.000)
Epoch: [19][262/263]	Loss 0.0054 (0.0143)	Prec@1 100.000 (99.524)	Prec@5 100.000 (100.000)
Epoch: [20][262/263]	Loss 0.0004 (0.0091)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [21][262/263]	Loss 0.0074 (0.0192)	Prec@1 100.000 (99.619)	Prec@5 100.000 (99.905)
Epoch: [22][262/263]	Loss 0.0008 (0.0110)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [23][262/263]	Loss 0.0007 (0.0132)	Prec@1 100.000 (99.714)	Prec@5 100.000 (100.000)
Epoch: [24][262/263]	Loss 0.0055 (0.0134)	Prec@1 100.000 (99.714)	Prec@5 100.000 (100.000)
Epoch: [25][262/263]	Loss 0.0008 (0.0084)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [26][262/263]	Loss 0.0170 (0.0108)	Prec@1 100.000 (99.714)	Prec@5 100.000 (100.000)
Epoch: [27][262/263]	Loss 0.0031 (0.0117)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [28][262/263]	Loss 0.0013 (0.0097)	Prec@1 100.000 (99.810)	Prec@5 100.000 (100.000)
Epoch: [29][262/263]	Loss 0.0007 (0.0168)	Prec@1 100.000 (99.524)	Prec@5 100.000 (99.905)

